feature,source_daily_feature,lookback_statistic
lookback_observed_days,all included modalities,distinct observed lookback days
resting_heart_rate_bpm__mean7,resting_heart_rate_bpm,mean7
resting_heart_rate_bpm__sd7,resting_heart_rate_bpm,sd7
resting_heart_rate_bpm__min7,resting_heart_rate_bpm,min7
resting_heart_rate_bpm__max7,resting_heart_rate_bpm,max7
resting_heart_rate_bpm__n7,resting_heart_rate_bpm,n7
hrv_rmssd_ms__mean7,hrv_rmssd_ms,mean7
hrv_rmssd_ms__sd7,hrv_rmssd_ms,sd7
hrv_rmssd_ms__min7,hrv_rmssd_ms,min7
hrv_rmssd_ms__max7,hrv_rmssd_ms,max7
hrv_rmssd_ms__n7,hrv_rmssd_ms,n7
sleep_minutes__mean7,sleep_minutes,mean7
sleep_minutes__sd7,sleep_minutes,sd7
sleep_minutes__min7,sleep_minutes,min7
sleep_minutes__max7,sleep_minutes,max7
sleep_minutes__n7,sleep_minutes,n7
respiratory_rate_bpm__mean7,respiratory_rate_bpm,mean7
respiratory_rate_bpm__sd7,respiratory_rate_bpm,sd7
respiratory_rate_bpm__min7,respiratory_rate_bpm,min7
respiratory_rate_bpm__max7,respiratory_rate_bpm,max7
respiratory_rate_bpm__n7,respiratory_rate_bpm,n7
peripheral_temperature_delta_c__mean7,peripheral_temperature_delta_c,mean7
peripheral_temperature_delta_c__sd7,peripheral_temperature_delta_c,sd7
peripheral_temperature_delta_c__min7,peripheral_temperature_delta_c,min7
peripheral_temperature_delta_c__max7,peripheral_temperature_delta_c,max7
peripheral_temperature_delta_c__n7,peripheral_temperature_delta_c,n7
